¿Cuántos años cumplidos tienes? (anota el número);¿Qué son para ti los Derechos Humanos?;¿Cuáles derechos conoces?;¿Qué significa ser una persona?
14.0;PARAMISON LOS DE RECHOS UMANOS  SON  ALGO QUE PODRAMOS ABIAR TODOS Y TODAS Y ;LA BIOLENSIA ENTRE FAMILIAR Y EI ACOSO       ;UNA PERSONA AMABIE  CON DE RECHOS Y BALORES
12.0;derechos de mujeres;derechos de respetar;que  tiene derechos
14.0;para mi los derechos humanos son cosas que ayudan a una persona a mejorar;derecho a la educación , ;no se
14.0;cosas que debenser repetadas para toda la humanidad;derecho ala livertad ala comida al respeto etc;no lo se
12.0;SON DERECHO DE MI PAPAS POR QUE SI NO MEDEJAN SALIR NO LALGO POR QUE ANDAN ROBANDO NIÑOS;derecho a opinar;MI FAMILIA AMOR PERO OTRA GENTE NADA
10.0;respetar;no recuerdo;nose
11.0;NOENPUGAR Y NO GRTAR;RESPETAR;NOSE
13.0;nada;derecho a opinar;NOSE
14.0;derecho a  que te es cuchen ;dem a opinar ;un humano 
10.0;derecho a    ;repetar;nada
10.0;es como algo para como q no te traten como si fueras una caja por así decirse ;algunos;ser especial
10.0;Derechos a la comida a un hogar etc...;Derechos a la comida a la igualdad al hogar a una familia etc...;Ser respetado
;;;
11.0;Es todo lo que me toca tener por ser una persona en este mundo.;La libertad de pensamiento, de expresión, de tránsito, educación, tener un lugar donde vivir y de vida.;Que puedo pensar decir lo que pienso, querer al que yo quiera, elegir lo que yo quiera.
11.0;son para tenernos protegidos;derecho ala educación, derecho a estar protegido y derecho a la alimentación; reconocernos como seres caracterizados por el uso libre de la razón, la voluntad y el sentimiento
12.0;Son aquellas situaciones que permiten al ser humano su realización;A la educación, a tener una familia, un hogar, a jugar, a expresarse, etc.;es tener derechos, obligaciones y responsabilidades para vivir en armonía en este mundo
12.0;;;
10.0;Son cosas que las personas tienen derecho a realizar o a tener y no te las pueden quitar ;a la salud, a la educación, a una vivienda , a la  alimentación, a la igualdad, a la protección ;que tenemos derechos
10.0;;;
11.0; Son aquellas reglas o condiciones que le permite a la gente la realización de actividades, y vivir con respeto y muchas cosas más.;Derecho a : la educación, la vida, la libertad de expresión, el respeto, a la familia, a la alimentación, la familia, un hogar, una identidad, a no ser discriminado, etc...;Una persona es ser consciente y racional, con capacidad de opinar y de respuesta sobre sus propios actos además de ser el único ser vivo en poder pensar, reflexionar, etc.
;;;
10.0;Lo que te corresponde tener y hacer;Derecho a una familia, al amor, a la educación, a una casa, a una alimentación.;un ser humano
12.0;Son las cosas que tenemos y podemos hacer sin algún impedimiento.;Derecho a un nombre, a una familia, al amor, a una vivienda, a divertirnos, a no sufrir violencia, etc.;Que somos valiosos tal y como somos.
10.0;Es la libertad que todo ser humano tiene;A la vida, un techo, comida, educación, nombre, ropa,;Un ser vivo que piensa, siente y puede expresarse
11.0;son cosas que nos da oportunidad de las cosas ;a la educación, a la protección, a la familia, a no trabajar, a la comida, a nacer ;significa ayudar a la sociedad para un futuro mejor
12.0;los derechos que tenemos como personas;derecho a la educación, libertad de expresion, igualdad, de pensamiento;ser un individuo con derechos y obligaciones
11.0;Los derechos humanos son derechos inherentes a todos los seres humanos, sin distinción alguna de nacionalidad, lugar de residencia, sexo, origen nacional , color, religión, lengua, o cualquier otra condición.;conozaco  6 no discriminar,derecho a la vida,ninguna esclavitud,tener derecho a una familia que te quiera,La Ley Protege tus Derechos Humanos,Ninguna Tortura.;Tener derecho de vivir ser libre pero respetando las reglas disfrutar la vida y vivirla y tener derechos humanos 
10.0;los derechos son los que me protegen;salir a jugar, tener comida, una casa, escuela, ropa ;es un ser humano 
11.0;Nos ayudan a expresarnos, a tener una mejor vida ;El de la libertad, a ser protegido, ala educación, ala igualdad, ala salud, , ;Tener derechos y tener vida
10.0;Son cosas que tienes que cumplir para tu bienestar ;Derecho a la educación,Derecho a la Salud,Derecho a la familia ;Tener libertad vivir al máximo y ser una persona es un regalo en regalo más grande que se pudiera tener
12.0;son las cosas a las cuales debemos tener acceso sin necesidad de que alguien mas lo apruebe;estudio, expresión, seguridad, servicios medicos;es un ser humano con derechos y obligaciones
10.0;lo que todos los humanos pueden hacer;Comida,Ropa,Escuela etc.;tener defectos ,ser buena y ser mala
12.0;Derechos para todos los seres humanos,sin distinción de nacionalidad,sexo,origen,color,lengua,religión,etc...;Derecho a la educación,derecho a tener justicia,derecho a ser respetado,derecho a tener una vivienda;Racional y conciente de sí mismo
10.0;Cosas que tenemos permitidas;Ir a la escuela,jugar ,comer,vestir,tener techo,respeto;Que soy un ser pensante con sentimientos ,emociones necesidades físicas y emocionales y con derechos y obligaciones 
12.0;;;
12.0;algo esencial para vivir en paz;a la salud ,a la educación ,a la familia , etc.;estar vivo y ser humano
10.0;Es un derecho que todo humano tiene para tener una mejor vida;derecho a la vida, derecho de prioridad, derecho de la identidad, derecho de vivir en familia, derecho de  igualdad sustantiva, derecho de no ser discriminado,, derecho de vivir en condiciones de bienestar y tener una sana integridad;ser un ser vivo 
11.0;Son los que nos protegen ;Educación,familia,atener un hogar, al alimento, el respeto, ala salud, al trabajo. ;Es poder elegir libremente 
12.0;las leyes que siempre vas a tener;estudiae, familia, vivienda;alguien que debe ser respetado y con derechos
10.0;los derechos que me da la vida y la ley son universales;al respeto, a mi nombre, a mi nacionalidad, a jugar;tener derechos y que me tienen que respetar todos
11.0;Para mi los derechos están relacionados con las necesidades de cada persona;Derecho de la educación, Derecho a una vida sin violencia  ;es reconocernos como seres caracterizados por el uso libre de la razón, la voluntad y el sentimiento 
13.0;Lo que protege a lo que somos tanto física como mentalmente;Libertad de expresión, derecho a identidad, derecho al bienestar.;Ser una persona con una identidad, derechos y libertad.
10.0;Los que me protegen ;Educación y lugar para vivir;No se, no entiendo
10.0;SON LAS COSAS QU TENEMOS DERECHO A REALIZAR Y NO NOS LO PUEDEN QUITAR;LA EDUCACION,LA SALUD,A LA VIVIENDA , LA LIBERTAD,A LA ALIMENTACION , A IGUALDAD Y A EL TRABAJO;QUE TIENES DERECHOS
9.0;son las cosas que desde que nacemos merecemos;derecho a nombre , escuela , familia , salud y libertad de albedrío;tener una vida como los demás y amor
11.0;Lo que uno tiene que tener como humano;Derecho a comida, escuela y buen trato de papas;Tener derechos y oportunidades amor y respeto
9.0;Los derechos humanos son los derechos que básicamente por existir como seres humanos ;Ir a la escuela,tener una familia,a comer ,a tener una casa etc;Temer derechos y necesidades 
9.0;son derechos a los que tenemos todos;a tener un hogar,a tener educacion ,amor;ser un humano de carne y hueso
12.0; Que todos seamos respetados por nuestra igualdad y derechos;Derecho al respeto, al la salud, a la igualdad, a un trabajo y amor;Un ser humano que tiene vida
10.0;Algo importante para defender a las personas;A la liberta ,a la educación y a la expresión;Ser con muchas cualidades 
10.0;PROTEGER LA DIGNIDAD;LA LIBERTAD,LA SEGURIDAD Y LA VIDA;UN SER HUMANO
10.0;Que cuiden a las personas ;Derecho a la salud , ala escuela , a tener una familia ;Un ser vivo 
9.0;No se;Tener salud, tener una escuela;Tener vida y fe
;;;
10.0;Cosas que debemos respetar ;Derecho de ir a la escuela,derecho de jugar y derecho de ser respetado;Ser un ser vivo 
;;;
10.0;Disfrutar de mi libertad sin dañar a nadie.;A ser feliz,tener una casa,una familia,a la salud,a que me respeten y a opinar.;Persona humana
9.0;ALGO QUE LAS PERSONAS PUEDEN HACER;JUGAR, IR A ESCUELA, TENER RESPONSABILIDAD, TENER UNA FAMILIA, ;SER TU MISMO, 
10.0;son algo que todos tenemos que tener por que nos protegen;derecho al a educación,derecho a un lugar digno,derecho ala salud.;que tienes derechos y respeto
10.0;;;
10.0;Los derechos humanos son derechos que tienen mujer y hombre;Derecho ala vida,derecho a vivir en un hogar,derecho a no discriminación y derecho a tener una familia;Un ser humano de cualquier edad
10.0;Es un derecho para tener libertad e igualdad y es importante tener derechos para poder decidir ,ser libres,etc y los derechos humanos son inherentes;-seguridad social.  -derechos al estudio,-derecho a la libertad,-de expresión,-Libertad de pensamiento,etc.;Ser persona es reconocernos como seres caracterizados por el uso libre de la razón, la voluntad y el sentimiento en la definición de nuestro camino existencial. Ser persona es trabajar incesantemente por el desarrollo humano integral, es decir, un desarrollo tanto económico y social como cultural y espiritual,etc.
11.0;Los derechos humanos para mi son beneficios que tenemos las personas desde que nacemos hasta la muerte;Derecho a ir a la escuela no ser violado ser respetado a los alimentos a un techo donde vivir a no ser juzgado poder expresarte libre mente etc;Ser un ser vivo que tiene derecho a ser feliz mental y físicamente 
11.0;los derechos humanos son beneficio que todos necesitamos para vivir en un medio ambiente sano;derecho a la educacion ,a un hogar a un medio ambiente sano etc;Ser una persona significa poder vivr en paz y armonia
10.0;Son los derechos que me cuidan y protegen;A la salud, al estudio, a la vida, a una casa, a la familia.;Un ser viviente que tiene derechos y obligaciones
10.0;Son garantías que nos protegen;A la educación, al buen trato, a vestir y calzar, a tener un lugar para vivir y comida, a jugar.;Un ser con derechos y obligaciones. 
10.0;beneficios para los niños y niñas;derecho a la educación, derecho a una buena vida, derecho a una familia, derecho a la salud.;ser dotado de habilidades y conocimientos, consiente de si mismo
11.0;Para mi los derechos humanos es algo que nos da confianza y que nos permite ayudarnos valorarnos y ante todo que la sociedad nos de  la inportancia y el valor que merecemos;Derecho a la educación  derecho a la igualdad Derecho a ser tratado si violencia Derecho a tener un medi anbiente sano Derecho a vivir en paz Derecho a jugar Derecho a tener una familia Derecho a tener amigos derecho a tener salud Derecho a tener una identidad ;Signifa tener derechos,responsabilidades,obligaciones.
12.0;Libertades derechos y/o obligaciones de un persona;La libertad, el respeto etc.;Que eres libre
10.0;Para mi son garantías que me protegen.;La educación, tener hogar, comer, salud, vestir, vida sana, al buen trato.;
14.0;Derechos que protegen la dignidad humana que se otorga por el simple hecho de existir;Derecho a la vida, libertad de pensamiento, libertad de expresión, derecho a no ser discriminado;Haber nacido como humano con igualdad de derechos, desde un feto hasta un anciano
12.0;SON LOS BENEFICIOS QUE TENGO COMO SER HUMANO ;ESTUDIAR, TENER CASA, TENER ATENCIÓN MÉDICA;UNA PERSONAS ES UN SER VIVO HUMANO 
13.0;son aquellos que nos permiten vivir sin distincion alguna y con la misma dignidad humana;derecho a la vida, derecho a la libertad de expresion, derecho al tiempo libre descanso;ser alguien en la vida que sea importante
11.0;SON LAS COSAS A LAS CUALES TENGO DERECHO;EDUCACION , CASA , SALUD , DIGNIDAD, HONESTIDAD , TRABAJO;QUE ERES UN SER HUMANO Y QUE TIENES VIDA 
13.0;A ser libre;Derecho al voto, derecho a la vida, a la educación, a tener un hogar;Ser tu mismo
13.0;Son normas que protegen nuestra dignidad como personas.;Libertad de expresión, derecho a la vida, a la educación, a la seguridad, derecho al trato humano, etc.;Cualquier que tiene conciencia de sí mismo y de sus experiencias. Es aquel que tiene un yo.
14.0;Lo que nos da la libertad;La libertad de expresión ;tener acceso a muchos derechos 
12.0;son los derechos que tenemos todos los seres humanos sin importar nacionalidad, lugar de residencia, sexo, sexo o grupo étnico, color o raza , ni status social.;derecho a  la identidad , derecho a vivir en familia, derecho a la salud, y los derechos de los niños.;ES SER  UN SER CON CARACTERISTICAS INDIVIDUALES , CON USO LIBRE DE LA RAZON , CON VOLUNTAD Y SENTIMIENTOS. 
13.0;Los derechos de los humanos;ir a la escuela a la expresion;
13.0;;;
13.0;Son los que tienen las personas para vivir y elegir como vivir;A estudiar, a la salud, a la vida, libertad, a un lugar donde vivir, trabajo digno, a alimentación ;Es alguien que tiene emociones, valor individual y dignidad
13.0;Es aceptar a la gente como es y que todos los seres humanos tenemos los mismos derechos sin distinción.;el respeto, la no discriminación, el derecho a las vida, un trabajo digno, derecho a la libertad, a la educación y a la salud.;Es reconocernos como seres pensantes de voluntad y sentimientos.
12.0;lo basico a lo que se me debe respetar;tener una nacionalidad, una familia, derecho a la vida, a migrar;tener identidad juridica
14.0;Son normas que nos ayudan a vivir de la mejor manera ;Derecho a tener una vivienda, educación, salud, será amado y respetado etc.;Un ser con vida que merece ser respetado y ejercer sus derechos 
13.0;Son derechos que se tiene que respetar sin importar tu genero.;Derecho a la salud ,Derecho a la educación, Libertad de expresión, libertad de pensamiento;Una persona para mi es alguien que tiene sentimientos
13.0;Un derecho de libertad, en el que todos somos iguales y libres de opinar y actuar conforme a sus pensamientos sin herir a los demás.;No recuerdo;Vivir libre
;;;
;;;
10.0;Acciones a las cuales tengo acceso;a la vivienda, a la educación... ;ser persona es tener inteligencia
;;;
15.0;Los derechos que tiene todas las personas concientes de sus acciones que les permite vivir de manera sana y saludable ;El derecho a la educacion, a un hogar, a la libertad de exprecion , a la salud.;Ser una persona es ser un ser vivo conciente de las acciones y tambien ser una persona que presenta sentimientos .
17.0; Para mi los derechos humanos son normas y protegen la dignidad de todos los seres humanos;Libertad de Expresión,El Derecho a la Democracia;Ser una persona es reconocernos tal y como somos como seres caracterizados 
17.0;algo muy importante para todos;no muchos;un ser viviente
16.0;Los derechos que todos adquirimos al nacer que nos protegen ante la ley;A la vida, a la libertad de expresión, la identidad, a no ser descrimidado. Entre otros;Es un ser humano el cual pertenece a una sociedad donde cada persona diferente juega un papel importante
16.0;;;
17.0;Son los derechos que todos tenemos por el simple hecho de existir ;Respeto , solidaridad , amor , carisma. ,amabilidad ;Existir 
15.0;son un conjunto de normas;libertad, tener familia, tener educación ;tener identidad
14.0;Es parte de tener dignidad humana y que todos debemos tener;Derecho a la educación, derecho a un hogar, derecho a no ser sobre explotado, entre otros;Significa que todos somos iguales sin importar circunstancias sociales, económicas, culturales, etc
14.0;Son las leyes que protegen a todas las personas de tener una dignidad. ;Derecho a la educación, derecho a tener una familia, derecho a ser tratado dignamente. ;Para mi ser una persona significa tener valores, los cuales te identifican como una persona al respetar a los demás.
17.0;Obligaciones de los demás hacia las personas que deben ser respetadas en todo momento y esta avalado por la ley;La mayoría;Ser un ser humano con vida y consciencia 
16.0;Es una legalidad que tiene toda persona desde el momento en que es concebido hasta que llega su muerte.;Derecho a la identidad, derecho a la igualdad entre mujeres y hombre, derecho a la libertad de expresión, derecho al cuidado y respeto de la identidad e integridad de una persona.;Ser una persona desde mi perspectiva significa ser dueño de una vida, tener la posibilidad de forjar tu camino, crear vínculos y relacionarte con los demás. Además de por el simple hecho de vivir gozar de derechos y oportunidades. 
17.0;Un derecho y valor;Educación, vida sexual, libertad, justicia, a la vida, etc...;Nacer gracias a una pareja
14.0;Derechos fundamentales que todos tenemos y que deben ser respetados ;Derecho a estudiar, a atención médica, a la libertad, etc ;Ser alguien que necesita ser tratado con dignidad y respeto
15.0;;;
17.0;Garantías que protegen nuestra integridad como personas con las que contamos por el simple hecho de serlo. ;Vida, salud digna, hogar, educación, etc. ;Haber nacido 
17.0;Son derechos que todos tenemos desde el momento en que nacemos y que no se nos deben ser arrebatados por ningún motivo. ;Derecho a la vida, derecho a la educación, derecho a la salud, derecho a una familia, derecho a la recreación, derecho al juego y esparcimiento, derecho a la libertad de expresión. ;"Ser un individuo existente, ya nacido; digno de respeto. "
16.0;Acciones que podemos realizar sin que alguien nos lo prohíba ;Derecho a la vida, igualdad ante la ley, igualdad entre hombres y mujeres, libertad de expresión. ;Tener la libertad de ser la persona que desees ser 
17.0;Son las garantías que tenemos como personas desde que nacemos hasta que morimos;Derecho a la vida, libertad, educación, servicios básicos, respeto, igualdad e integridad;Significa que por el simple hecho de nacer tenemos los mismo derechos y obligaciones
14.0;Estos hacen que tengamos un trato digno y respetuoso, para así podernos sentir dignos ;Derecho a estudiar, Derecho de libre expresión, derecho de identidad, derecho a no ser discriminado, derecho al matrimonio y familia, entre otros ;Poder tener una identidad, sentirse libre y cómodo con uno mismo sin hacer daño a terceras personas y tener derechos respetados 
17.0;Son leyes que como ser humanos tenemos por el simple hecho de ser una persona ;A la escuela , vida , techo , alimento , opinión ;Sinceramente no tengo una respuesta en concreto 
14.0;Derechos que se nos dan a todos lo seres humanos sin distinción alguna para nuestra defensión y protección;derecho a la vida, identidad, familia, educación, igualdad, salud, libertad, entre muchos otros ;reconocernos como seres por el uso libre de la razón y el desarrollo integral
12.0;son los que permiten a las personas ser alguien educado ;derecho a ser respeta@s, derecho a tener famila, derecho a la igualdad, derecho a vivir en condiciones de vienestar, derecho a no ser discriminado;significa ser un persona con derechos, inteligente,bondadosa y muy valiosa
13.0;Poder hacer algo sin que nadie te diga nada;derecho a la vida, derecho a vivir en familia, derecho a no ser discriminado ;tener una vida y derechos 
17.0;Son un conjunto de reglas y declaraciones donde se da la libertad del individuo y el consentimiento de acceso a diversas necesidades.;Libertas de expresión, igualdad,  libertad de culto, salud, alimentación, educación;Ser una persona significa ser un individuo libre con la suficiente capacidad de actuar con autonomía.
14.0;Son como un estilo de vida de calidad;Tengo derecho a la educación, una casa, amor, ;Tener respeto, amor, derechos, etc. Y también darlo
17.0;Garantías que protegen nuestra integridad que todos tenemos por el hecho de ser personas.;vida, vivienda, educación, salud digna, etc.;El simple hecho de haber nacido.
12.0;son los derechos que nos permiten tener igualdad;el derecho a la educación ;ser una persona significa tener libertad e igualdad 
17.0;Son las oportunidades dadas a nosotros para ser respetados, respetar y expresarnos libremente.; A la libertad de expresión, a un trato justo, tener una vivienda, poder recibir una educación, derecho a la vestimenta.;Un ser con derechos como también responsabilidades que recibe tratos justos y te aceptan tal y como soy.
17.0;Son los derechos que todas las personas tienen desde el momento en el que se nace.;Derecho a la vida, la salud, un hogar, la seguridad, educación.;El hecho de estar vivo y poder convivir en la sociedad y poder tomar decisiones y tener la libertad para vivir.
15.0;Son derechos que nos definen como persona y que nos protegen ante cualquier violación;El derecho a estuadiar, trabajar, tener familia, ser respetados y expresar nuestras opiniones;Significa ser un individuo que esta constituido por una personalidad y que está protegido por sus derechos humanos
14.0; son normas que reconocen y protegen la dignidad de todos los seres humanos en todos los aspectos ;Derecho a la vida, eduación, salud ,integridad, igualdad entre muchos otros ; Es reconocernos como seres caracterizados por el uso libre de la razón y desarrollo integral 
15.0;Son derechos que nos definen como individuos y que nos protegen ante cualquier violacion ;El derecho a estudiar, de tener una vivienda, de trabajar, de ser respetados;Significa ser un individuo que está constituido por una personalidad y que está protegido por sus derechos humanos
12.0;La clave para vivir y en armonía ;Tener libertad de expresión , tener derecho a la educación, etc…;Es tener conciencia sobre sí mismo y su identidad 
16.0;Son los derechos que todo ser humano tiene.;Prioridad, identidad, salud, vivienda.;Ser un ser, racional, inteligente, ético y moral.
14.0;Es algo que se tiene que respetar porque protege a los seres humanos ;-;Ser alguien digno de respeto 
14.0;Son como un estilo de vida de calidad;Tengo derecho a la educación, a una casa, a tener amor, ;Tener respeto, amor, derechos etc. Y también darlo
17.0;son las leyes qué protegen tanto dignidad como persona, ante la justicia.;estemmmm, no recuerdo bien bien, pero conozco 5 o 7;respetar y comprender a los demás 
15.0;Garantías individuales necesarias para establecer una mínima calidad de vida aceptable.;Elegir trabajo, estudiar, vivienda, ropa, alimento, recrearse.;Ser un individuo con características propias.
14.0;Aquellos que todas las personas tienen sin distincion fisica, etica o moral;Livertad,igualdad,justicía,dignidad;Un ser humano con caracteristicas propias e inrepetibles fisicamente( unicas en el mundo)
17.0;Son aquellas libertades y derechos que tenemos las personas por el mero hecho de existir ;"Derecho a la vida, a la supervivencia y al desarrollo;Derecho de prioridad;Derecho a la identidad;Derecho a vivir en familia;Derecho a la igualdad sustantiva;Derecho a no ser discriminado;Derecho a vivir en condiciones de bienestar y a un sano desarrollo integral";Ser persona es ser caracterizado por el uso libre de la razón, la voluntad y el sentimiento 
15.0;Oportunidades que tenemos las personas para vivir en un entorno armonioso ;Derecho a la escuela, derecho a la vida, derecho a la identidad, derecho a no ser discriminado ;Tener identidad 
17.0;Son las que nos protejen o ayudan ;El derecho al voto y el derecho a libertad de expresión;Un ser que tiene la capacidad de razonar
17.0;Son un conjunto de condiciones que protegen a la persona y su dignidad sin distinción.;A la vida, a la familia, a un hogar, a vestimenta, al alimento, la libertad de expresión.;Es ser único, irremplazable e irrepetible. Con derechos y obligaciones.
13.0;Son todos los derechos que tiene toda persona sin importar como sea.;Derecho a tener un trabajo, hogar y salud.;Significa que podemos ser parte de una comunidad y tenemos la capacidad razonar y convivir con diferentes individuos.
17.0;Algo que te defiende como ser humano;Derecho a la educación, a la libertad y a libertad de culto.;Ser un civil de alguna sociedad
16.0;Son normas que protegen la dignidad de todos los seres humanos. ;Derecho a la vida, a la vivienda, a la educación, a la igualdad , identidad, libertad, seguridad, etc.;Ser humano 
17.0;Es lo que cada persona tien, solo por el hecho de ser personas;Tener educacion, a la vida, una vivienda, la libre expresion y al deporte.;Alguien que piensa por si sola y que tiene la libertad de expresarse como quiera.
17.0;Los derechos humanos son los que protegen a las personas de cualquier tipo de injusticia;"Derecho a la vida, a la supervivencia y al desarrollo; Derecho de prioridad; Derecho a la identidad; Derecho a vivir en familia; Derecho a la igualdad sustantiva; Derecho a no ser discriminado; Derecho a vivir en condiciones de bienestar y a un sano desarrollo integral;";Significa ser sociable y vivir en comunidad
17.0;Son las facilidades y apoyos que tengo para realizar mis cosas;La mayoría de mis derechos;Ser alguien que cuenta con sus derechos y libertades
14.0;es algo que todos y todas tenemos y nunca debemos de atentar contra ellos;igualdad ,salud ,libertad .dignidad y justicia;tener derechos pero sobre todo digndad
17.0;Son normas inherentes que todo ser humano tiene.;El derecho a la vida, a vivir en condiciones de bienestar, a la identidad, etc.;Es un ser que tiene sensibilidad, inteligencia y voluntad.
16.0;Son las leyes que rigen que todos seamos tratados por igual .;Derecho a la educación , a la salud , a la vivienda , al calzado,etc ;Significa ser un ser humano con condiciones que lo hacen ser parte de una sociedad 
14.0;Son los derechos que todas las personas tenemos por el simple hecho de ser personas;Educación, a no ser discriminado/a, a tener una familia, a la igualdad, etc.;No sabría explicarlo
13.0;Pues como su nombre lo dice pienso que son los derechos q tienen todas las personas al nacer y debemos respetar y hacer respetar nuestros derechos como personas que somos;Amm al descanso,el derecho a la educación, derecho a la salud,derecho a la libre expresión, derecho al trabajo..etc;Pues con el simple hecho de ser un ser vivo de la especie humana ya eres una persona
13.0;Son los que nos permiten vivir una vida mas justa (si es que se respetan);Derecho a la identidad, derecho a tener una familia, derecho a la democracia, derecho de expresión de libertad y otros mas  ;Que tienes una vida y puedes elegir todo lo que quieras lograr pero tambien puedes razonar, reflexionar para tomar las decisiones que mas te favorezcan 
14.0;Los derechos humanos son normas que me ayudan a emplear mi desempeño en la sociedad que me ayudan a tener voz y respeto hacia mi persona ;Derecho a la educación, información, tener libertad, voz y voto, no estar sometido a la esclavitud, tener derecho a no estar sometido a torturas;Significa tener derechos y voz para argumentar, opinar y ser libre sobre las decisiones que hagas sin hacer daño a la sociedad 
13.0;son muy importantes ya que son para respetar a los demás;a la salud, educación, libertad de expresión, el trabajo, a una vivienta, humanos, de los niños;ser un ser humano con derechos y obligaciones
14.0;Los derechos humanos,son realizaciones que le permiten a cada persona ;Derecho a la educación-Derecho a no ser discriminado-Derecho a la igualdad ;Para mi una persona es un ser humano, que es total diferente a los demás seres
12.0;Los derechos que comparten todas las personas sin importar nacionalidad raza etc;Derecho a estudiar a la salud al trabajo a tener un lugar donde vivir derecho a la exprecion;Tener derechos 
17.0;Son normas o reglas que te ayudan a cuidad de tu identidad o dignidad humana;Libertad de expresión y pensamiento, a la comida, a una vivienda, a una seguridad social, etc.;es aceptarse como un ser vivo y tener tu dignidad
